iter	Passed	Remaining
224	8269	9923
225	8304	9884
226	8340	9846
227	8374	9807
228	8409	9768
229	8446	9731
230	8484	9696
231	8526	9666
232	8561	9626
233	8595	9587
234	8633	9551
235	8668	9513
236	8704	9475
237	8739	9437
238	8775	9399
239	8813	9364
240	8856	9334
241	8895	9299
242	8936	9267
243	8973	9230
244	9010	9193
245	9044	9155
246	9082	9118
247	9120	9083
248	9159	9049
249	9195	9011
250	9234	8976
251	9269	8938
252	9303	8898
253	9340	8862
254	9376	8824
255	9410	8785
256	9444	8746
257	9477	8706
258	9511	8667
259	9551	8632
260	9586	8594
261	9623	8558
262	9658	8519
263	9692	8481
264	9732	8447
265	9772	8413
266	9805	8373
267	9840	8334
268	9878	8299
269	9914	8261
270	9951	8225
271	9987	8188
272	10023	8150
273	10062	8116
274	10097	8077
275	10131	8039
276	10167	8002
277	10200	7962
278	10235	7924
279	10270	7886
280	10305	7848
281	10343	7812
282	10380	7776
283	10418	7740
284	10459	7706
285	10496	7670
286	10535	7635
287	10574	7600
288	10610	7563
289	10646	7525
290	10682	7488
291	10716	7449
292	10747	7409
293	10791	7378
294	10826	7339
295	10860	7301
296	10890	7260
297	10924	7221
298	10960	7184
299	10995	7147
300	11032	7110
301	11074	7077
302	11110	7040
303	11144	7002
304	11179	6964
305	11213	6925
306	11251	6890
307	11285	6852
308	11318	6813
309	11356	6777
310	11390	6739
311	11424	6700
312	11454	6660
313	11487	6621
314	11524	6585
315	11560	6548
316	11595	6511
317	11634	6475
318	11671	6439
319	11710	6403
320	11743	6365
321	11781	6330
322	11816	6292
323	11852	6255
324	11889	6219
325	11921	6180
326	11954	6141
327	11988	6103
328	12028	6069
329	12066	6033
330	12100	5995
331	12137	5958
332	12171	5921
333	12203	5882
334	12241	5846
335	12275	5809
336	12310	5771
337	12345	5734
338	12380	5697
339	12417	5660
340	12452	5623
341	12484	5585
342	12521	5548
343	12553	5510
344	12588	5473
345	12624	5436
346	12663	5401
347	12701	5365
348	12739	5329
349	12776	5293
350	12811	5255
351	12847	5219
352	12881	5181
353	12916	5144
354	12952	5107
355	12990	5072
356	13025	5035
357	13059	4997
358	13105	4964
359	13145	4929
360	13181	4892
361	13214	4855
362	13251	4818
363	13283	4780
364	13317	4743
365	13351	4705
366	13384	4668
367	13417	4630
368	13455	4594
369	13491	4558
370	13525	4520
371	13564	4485
372	13600	4448
373	13635	4411
374	13668	4374
375	13703	4337
376	13737	4299
377	13769	4262
378	13807	4225
379	13846	4190
380	13882	4153
381	13924	4119
382	13959	4082
383	13993	4045
384	14029	4008
385	14067	3972
386	14103	3935
387	14140	3899
388	14179	3863
389	14216	3827
390	14251	3790
391	14287	3754
392	14321	3717
393	14359	3680
394	14393	3643
395	14427	3606
396	14462	3570
397	14499	3533
398	14532	3496
399	14566	3459
400	14603	3423
401	14637	3386
402	14674	3350
403	14708	3313
404	14746	3276
405	14779	3239
406	14814	3203
407	14848	3166
408	14881	3129
409	14918	3092
410	14951	3055
411	14984	3018
412	15019	2982
413	15054	2945
414	15087	2908
415	15120	2871
416	15155	2834
417	15190	2798
418	15226	2761
419	15261	2725
420	15298	2689
421	15335	2652
422	15370	2616
423	15409	2580
424	15444	2543
425	15478	2507
426	15511	2470
427	15547	2433
428	15580	2397
429	15617	2360
430	15653	2324
431	15687	2287
432	15718	2250
433	15768	2216
434	15801	2179
435	15837	2143
436	15874	2106
437	15908	2070
438	15946	2034
439	15981	1997
440	16015	1961
441	16050	1924
442	16085	1888
443	16117	1851
444	16152	1814
445	16190	1778
446	16226	1742
447	16261	1706
448	16295	1669
449	16328	1632
450	16365	1596
451	16399	1560
452	16434	1523
453	16475	1487
454	16511	1451
455	16553	1415
456	16590	1379
457	16628	1343
458	16663	1306
459	16701	1270
460	16738	1234
461	16774	1198
462	16810	1161
463	16849	1125
464	16887	1089
465	16923	1053
466	16957	1016
467	16993	980
468	17028	944
469	17063	907
470	17096	871
471	17132	834
472	17165	798
473	17199	762
474	17235	725
475	17269	689
476	17304	653
477	17338	616
478	17372	580
479	17408	544
480	17443	507
481	17481	471
482	17516	435
483	17550	398
484	17587	362
485	17624	326
486	17657	290
487	17691	253
488	17741	217
489	17778	181
490	17810	145
491	17843	108
492	17878	72
493	17912	36
494	17945	0
