iter	Logloss
0	0.6925984644
1	0.6924037359
2	0.6922778575
3	0.6920858254
4	0.6919560472
5	0.6917923158
6	0.6915852573
7	0.6914072105
8	0.6913018227
9	0.6912141987
10	0.6911526661
11	0.6910988773
12	0.6910375703
13	0.6908632052
14	0.690790083
15	0.6904494171
16	0.6903245614
17	0.6902640327
18	0.6901450692
19	0.689740109
20	0.6895786795
21	0.6892570679
22	0.6888569732
23	0.6887877723
24	0.6886965957
25	0.6885821971
26	0.6884868555
27	0.6884256808
28	0.6879732012
29	0.6876302515
30	0.6872631387
31	0.6870867472
32	0.6870612598
33	0.6867673552
34	0.6866556125
35	0.6866035474
36	0.6865121974
37	0.6863502484
38	0.6863050769
39	0.6862190283
40	0.6859401934
41	0.6856543725
42	0.6856052658
43	0.6855556928
44	0.6853574563
45	0.6850316445
46	0.6849582873
47	0.6848564733
48	0.6847814079
49	0.684721453
50	0.6845928385
51	0.6845430853
52	0.6843002941
53	0.6839472574
54	0.6838245608
55	0.6836961576
56	0.683400683
57	0.6833198715
58	0.6830460377
59	0.6829431802
60	0.6828798865
61	0.6825574182
62	0.6824454693
63	0.6823013185
64	0.6821226885
65	0.6820394833
66	0.6817985248
67	0.6817772098
68	0.6816599919
69	0.6814224086
70	0.6811389191
71	0.6808389528
72	0.6807139001
73	0.6806766396
74	0.6805168259
75	0.6804800207
76	0.6803113128
77	0.680109892
78	0.679984224
79	0.6799446996
80	0.6798909935
81	0.6798537487
82	0.6797009852
83	0.6796212545
84	0.6795388188
85	0.6794243801
86	0.6791707161
87	0.6790626645
88	0.6788890528
89	0.6787792849
90	0.678705622
91	0.6784377545
92	0.67838099
93	0.6782859957
94	0.678193372
95	0.6780971359
96	0.6780234712
97	0.677912447
98	0.6778739216
99	0.6777164006
100	0.6776893629
101	0.6776186336
102	0.6775564553
103	0.6774924975
104	0.6774133857
105	0.6773682328
106	0.6773324464
107	0.6772930026
108	0.6771053139
109	0.6770225464
110	0.6769651123
111	0.6767347598
112	0.6766666021
113	0.6766258249
114	0.6766018293
115	0.676424147
116	0.676372038
117	0.676282101
118	0.6761935699
119	0.6760104966
120	0.6759947363
121	0.6758476933
122	0.675772725
123	0.6756305036
124	0.6755843515
125	0.6755058126
126	0.6753160573
127	0.6751258174
128	0.6750289736
129	0.6750063971
130	0.6749600113
131	0.6749214742
132	0.6747672113
133	0.6747497515
134	0.6747379783
135	0.6746759203
136	0.6746015652
137	0.6745420631
138	0.6744600882
139	0.6744094956
140	0.6743261667
141	0.6741632144
142	0.6741224088
143	0.6740605735
144	0.6738526635
145	0.673703468
146	0.6736692182
147	0.6735630325
148	0.6735544998
149	0.6734135853
150	0.6733635488
151	0.6732718581
152	0.6731414444
153	0.6730829698
154	0.6728861887
155	0.6728179723
156	0.6727906437
157	0.6727759665
158	0.6727270172
159	0.6726029267
160	0.6724537359
161	0.6724165601
162	0.6723154622
163	0.672282608
164	0.6721045463
165	0.6719898557
166	0.6719645043
167	0.6718703021
168	0.6718664302
169	0.6718500858
170	0.6718118094
171	0.6717741771
172	0.6717543923
173	0.671682258
174	0.6715154754
175	0.6714808521
176	0.6713253135
177	0.6712635173
178	0.6711688582
179	0.6710846849
180	0.6710609191
181	0.6709606217
182	0.6709559045
183	0.6709133311
184	0.670857093
185	0.6707282783
186	0.6706226164
187	0.6705904272
188	0.6705555011
189	0.6704339597
190	0.6704074122
191	0.6703620937
192	0.67032696
193	0.6702932977
194	0.6702561074
195	0.6702004269
196	0.6701628018
197	0.670142128
198	0.6700746573
199	0.6700422895
200	0.6699491395
201	0.6699019005
202	0.6698037692
203	0.6697830208
204	0.6697340553
205	0.6696990291
206	0.6696762958
207	0.6696454468
208	0.6696190379
209	0.6695928839
210	0.6695756283
211	0.6695582658
212	0.6695435653
213	0.6695175235
214	0.6694748716
215	0.6693998757
216	0.6693088221
217	0.6691746372
218	0.6691517907
219	0.669066264
220	0.6690190223
221	0.668986267
222	0.6689519495
223	0.6689335906
224	0.6689051952
225	0.6688695042
226	0.6688095581
227	0.6687871306
228	0.6687583745
229	0.6687141029
230	0.6685838466
231	0.6685160974
232	0.6684920231
233	0.6683550272
234	0.6682944374
235	0.6682604118
236	0.6682098805
237	0.6681415543
238	0.668127849
239	0.668081009
240	0.667998593
241	0.6679921153
242	0.6679716613
243	0.667837896
244	0.6678186502
245	0.6676973116
246	0.6676605723
247	0.6676189749
248	0.6675958268
249	0.6675574411
250	0.6675474658
251	0.6675189047
252	0.6674937787
253	0.6674648947
254	0.6674263477
255	0.6673979103
256	0.6673540115
257	0.6673189569
258	0.6672911403
259	0.6672722424
260	0.6672433103
261	0.6671839644
262	0.6670755089
263	0.6670591909
264	0.6670347295
265	0.6670214983
266	0.6669931105
267	0.6669627431
268	0.6669046596
269	0.6668629711
270	0.6667651846
271	0.666688325
272	0.6666560278
273	0.6666522715
274	0.6665984821
275	0.6665574494
276	0.6665366534
277	0.6665085125
278	0.6664396178
279	0.6664111405
280	0.66636666
281	0.6663044174
282	0.6662511875
283	0.6662334976
284	0.666213091
285	0.6661951822
286	0.6661101092
287	0.6660661088
288	0.6660334454
289	0.6659176282
290	0.6658941944
291	0.665880054
292	0.6658514683
293	0.6658270522
294	0.6657937438
295	0.6657677687
296	0.665745141
297	0.6657351853
298	0.6657111271
299	0.6656796597
300	0.6656578978
301	0.6656530093
302	0.6656387007
303	0.6655316979
304	0.6654748434
305	0.6654618127
306	0.6654453484
307	0.6653685157
308	0.6653265401
309	0.6652658238
310	0.6652488887
311	0.6652276013
312	0.6652036367
313	0.6651248962
314	0.6651087885
315	0.6650912961
316	0.6650806019
317	0.6650515592
318	0.6650367724
319	0.6650209134
320	0.664942352
321	0.6649323411
322	0.6649028581
323	0.6648844603
324	0.6648294017
325	0.6647522278
326	0.6647243654
327	0.6646863226
328	0.6646616377
329	0.6646374298
330	0.6646071932
331	0.6645632202
332	0.6645524856
333	0.6645243908
334	0.6644327631
335	0.6644129876
336	0.6643778273
337	0.6643393173
338	0.6643153789
339	0.6642378968
340	0.6642281652
341	0.6642018038
342	0.6641664658
343	0.6641007675
344	0.6640929992
345	0.6640517284
346	0.6640240418
347	0.664013356
348	0.6639772995
349	0.6639572332
350	0.6639393254
351	0.6639323001
352	0.6639219484
353	0.6638991632
354	0.6638723227
355	0.6638159619
356	0.6637935995
357	0.6637766191
358	0.6637486441
359	0.6637284689
360	0.6637029765
361	0.6636887396
362	0.6636496174
363	0.6636294894
364	0.6635818314
365	0.6635712893
366	0.6635311999
367	0.6635053544
368	0.663481706
369	0.6634661341
370	0.6634407862
371	0.6634287978
372	0.6634112422
373	0.6634062914
374	0.6633908253
375	0.6633696043
376	0.663320283
377	0.6632748758
378	0.6632721432
379	0.6632477254
380	0.663238497
381	0.6632112027
382	0.6632092548
383	0.6631885873
384	0.6631786103
385	0.6631361833
386	0.6630549084
387	0.663035626
388	0.6629830348
389	0.6629690193
390	0.662957295
391	0.6629362327
392	0.6629257531
393	0.6629194439
394	0.6629003562
395	0.6628780965
396	0.6628654569
397	0.6628511564
398	0.6628424329
399	0.6628155668
400	0.6627688429
401	0.6627281819
402	0.662715757
403	0.6626747846
404	0.6626656001
405	0.6626251046
406	0.6626001337
407	0.6625941585
408	0.6625798295
409	0.6625699277
410	0.6625449668
411	0.6624912614
412	0.6624818721
413	0.6624302726
414	0.6623628938
415	0.6622891025
416	0.6622735036
417	0.6622601395
418	0.6621903999
419	0.6621854399
420	0.6621788868
421	0.66217251
422	0.6621604957
423	0.6621428455
424	0.6621228233
425	0.6621070047
426	0.6620865066
427	0.6620827354
428	0.6620648136
429	0.6620560497
430	0.6620473678
431	0.6620194762
432	0.6620032844
433	0.6619433293
434	0.6619418375
435	0.6618924813
436	0.661878247
437	0.6618664628
438	0.6618551558
439	0.6618450325
440	0.6618286581
441	0.6618102451
442	0.6617533487
443	0.6617483712
444	0.6617388033
445	0.6617197241
446	0.6617096389
447	0.6617005641
448	0.6616854215
449	0.6616745777
450	0.6616666584
451	0.6616518649
452	0.6616272104
453	0.6616071803
454	0.6616056103
455	0.6615392155
456	0.6615028836
457	0.6614914845
458	0.6614748972
459	0.6614697977
460	0.6614530291
461	0.6614147872
462	0.6614062668
463	0.6613942725
464	0.6613836746
465	0.6613371859
466	0.6613122467
467	0.6612985228
468	0.6612878986
469	0.6612807189
470	0.661255167
471	0.6612318853
472	0.6612229369
473	0.6611946028
474	0.6611844435
475	0.661138308
476	0.6611227442
477	0.6611019821
478	0.6610651741
479	0.6610592366
480	0.6610379852
481	0.6610305502
482	0.661020464
483	0.6610039942
484	0.6609711265
485	0.660967356
486	0.6609499532
487	0.6609394159
488	0.66092656
489	0.6608797789
490	0.6608153502
491	0.6608061953
492	0.6608018076
493	0.6607866187
494	0.6607493747
