iter	RMSE
447	18.44863015
448	18.44127476
449	18.43415233
450	18.42985972
451	18.42437605
452	18.41901893
453	18.41627612
454	18.40935812
455	18.4051577
456	18.403675
457	18.3987535
458	18.39324573
459	18.38959863
460	18.38691939
461	18.38369983
462	18.37995581
463	18.3789611
464	18.37694616
465	18.37340909
466	18.37023044
467	18.36332207
468	18.36032793
469	18.35796415
470	18.35419526
471	18.3509747
472	18.34761485
473	18.34308214
474	18.33879277
475	18.33422302
476	18.32973962
477	18.32436832
478	18.32197712
479	18.31829153
480	18.31470403
481	18.31084829
482	18.30625646
483	18.30377308
484	18.30008508
485	18.29623385
486	18.2938246
487	18.29000819
488	18.28387234
489	18.28241456
490	18.28073958
491	18.27703215
492	18.27190291
493	18.26785998
494	18.26565763
495	18.2624248
496	18.25836564
497	18.25491825
498	18.25052497
499	18.24790705
500	18.24467178
501	18.24033235
502	18.23533613
503	18.23225797
504	18.22689699
505	18.2222502
506	18.21873386
507	18.21430295
508	18.21082321
509	18.2072648
510	18.20358549
511	18.20131934
512	18.1989038
513	18.19458518
514	18.19085415
515	18.18607879
516	18.18485899
517	18.18013352
518	18.17716798
519	18.17381639
520	18.17180346
521	18.16559618
522	18.16104263
523	18.15635238
524	18.15298824
525	18.15104685
526	18.14672064
527	18.14455795
528	18.13659612
529	18.1324856
530	18.12706158
531	18.12247502
532	18.11815259
533	18.11490054
534	18.1110473
535	18.1061345
536	18.10159078
537	18.09891628
538	18.09588476
539	18.09184172
540	18.08785249
541	18.0857812
542	18.08152791
543	18.07600832
544	18.07408485
545	18.06921231
546	18.0659185
547	18.06214619
548	18.05918969
549	18.05643966
550	18.05286176
551	18.04926792
552	18.04604828
553	18.04456823
554	18.04186188
555	18.03855457
556	18.03634545
557	18.03189502
558	18.0287333
559	18.02638127
560	18.02320694
561	18.01953645
562	18.01564228
563	18.01221256
564	18.01072477
565	18.00671959
566	18.00259509
567	18.0005743
568	17.99863822
569	17.99569619
570	17.99225365
571	17.98899871
572	17.98555221
573	17.98400898
574	17.97983467
575	17.97525625
576	17.97185795
577	17.9697036
578	17.96558838
579	17.96126615
580	17.95882629
581	17.95640199
582	17.952102
583	17.94832861
584	17.94622167
585	17.94016285
586	17.937893
587	17.93536009
588	17.9311616
589	17.92589916
590	17.92466496
591	17.92288094
592	17.91728422
593	17.91237532
594	17.90990931
595	17.90367524
596	17.90023091
597	17.89872128
598	17.89729158
599	17.8932923
600	17.8898697
601	17.88624214
602	17.88068742
603	17.87627833
604	17.87258946
605	17.87024727
606	17.86810839
607	17.86570581
608	17.86110323
609	17.85658846
610	17.85461906
611	17.85094522
612	17.84764212
613	17.84490269
614	17.84317957
615	17.83932947
616	17.83750874
617	17.83462336
618	17.83075975
619	17.82751111
620	17.8237661
621	17.82252814
622	17.8189123
623	17.81385123
624	17.81035245
625	17.80762916
626	17.80623969
627	17.80377121
628	17.7992786
629	17.79695806
630	17.79335151
631	17.78917959
632	17.78550743
633	17.7817595
634	17.77974736
635	17.77503618
636	17.77211884
637	17.76820303
638	17.76382593
639	17.75980836
640	17.7565175
641	17.75307866
642	17.74953895
643	17.74507641
644	17.74134579
645	17.73683378
646	17.73150609
647	17.72867179
648	17.72646902
649	17.72389509
650	17.72084779
651	17.71619244
652	17.71341086
653	17.70825721
654	17.70431989
655	17.70073975
656	17.69806852
657	17.6949495
658	17.69125008
659	17.68609666
660	17.6832864
661	17.67951093
662	17.67513201
663	17.67162451
664	17.66456978
665	17.66206368
666	17.65946169
667	17.65656407
668	17.65276647
669	17.65001466
670	17.64747337
671	17.64329322
672	17.63846244
673	17.63593819
674	17.63389712
675	17.63180683
676	17.62564857
677	17.62289126
678	17.61980572
679	17.61782014
680	17.61455597
681	17.6127571
682	17.61084878
683	17.60698809
684	17.60342383
685	17.60036988
686	17.59768155
687	17.59547163
688	17.59397873
689	17.59120245
690	17.58847888
691	17.58669632
692	17.58351137
693	17.58179367
694	17.5794333
695	17.57646426
696	17.5716755
697	17.56735675
698	17.56297681
699	17.56001993
700	17.55656987
701	17.55230574
702	17.55080193
703	17.54790778
704	17.54431448
705	17.54249296
706	17.53732346
707	17.53318149
708	17.53068315
709	17.52728531
710	17.52283453
711	17.51851723
712	17.51568941
713	17.51212601
714	17.51042803
715	17.50436129
716	17.50224563
717	17.49961066
718	17.49622667
